,YEAR,PREVAILING_WAGE
556757,2016,0
2445238,2012,0
1134362,2015,0
2728155,2011,0
2714962,2011,0
2663856,2011,0
1790346,2013,0
489012,2016,0
609397,2016,0
1590212,2014,0
2096133,2013,0
2164357,2013,0
2920062,2011,0
1344196,2014,0
734983,2015,0
2616400,2012,0
2451386,2012,0
1830369,2013,0
2096419,2013,0
2751359,2011,0
2498147,2012,0
206016,2016,0
1915093,2013,0
612551,2016,0
641094,2016,0
1631332,2014,0
2246014,2012,0
1014032,2015,0
2309840,2012,0
2908440,2011,0
2041788,2013,0
1742309,2014,0
2346654,2012,0
1474772,2014,0
1286623,2014,0
678894,2015,0
680583,2015,0
2330617,2012,0
2465870,2012,0
2204993,2013,0
60826,2016,0
541890,2016,0
2875592,2011,0
78121,2016,0
2936711,2011,0
183752,2016,0
409213,2016,0
2008324,2013,0
2180033,2013,0
443861,2016,0
2824945,2011,0
1575913,2014,0
2892681,2011,0
1043746,2015,0
2485978,2012,0
1161739,2015,0
122885,2016,0
372461,2016,0
1356381,2014,0
1084588,2015,0
492091,2016,0
1678158,2014,0
1868885,2013,0
2704723,2011,0
2473563,2012,0
1362276,2014,0
1604437,2014,0
2116495,2013,0
1594656,2014,0
1643192,2014,0
2029353,2013,0
630464,2016,0
748448,2015,0
4502,2016,0
44808,2016,0
2263376,2012,0
2288091,2012,0
2284429,2012,0
2284469,2012,0
1020806,2015,0
1638291,2014,0
1783437,2014,0
1238200,2015,0
117554,2016,0
544566,2016,0
2077903,2013,0
716900,2015,0
2236389,2012,0
558598,2016,0
1656937,2014,0
595863,2016,0
2331824,2012,0
2743996,2011,0
1189778,2015,0
2893301,2011,0
2795746,2011,0
335864,2016,0
1577761,2014,0
2423236,2012,0
236943,2016,0
514900,2016,0
1912182,2013,0
1653227,2014,0
2793427,2011,0
2175460,2013,0
2008057,2013,0
787643,2015,0
2197934,2013,0
798802,2015,0
281914,2016,0
2788627,2011,0
2386932,2012,0
2755824,2011,0
2516432,2012,0
928463,2015,0
1571186,2014,0
1543932,2014,0
2803670,2011,0
2714825,2011,0
638339,2016,0
466492,2016,0
14949,2016,0
1389252,2014,0
1112768,2015,0
1137404,2015,0
677514,2015,0
2471142,2012,0
975906,2015,0
662162,2015,0
842066,2015,0
619608,2016,0
1389248,2014,0
154255,2016,0
1180433,2015,0
900795,2015,0
305055,2016,0
1047502,2015,0
1440231,2014,0
2337688,2012,0
1092617,2015,0
2248192,2012,0
2888437,2011,0
2123894,2013,0
2670645,2011,0
1206185,2015,0
109254,2016,0
2883250,2011,0
212861,2016,0
934026,2015,0
805676,2015,0
1736168,2014,0
979027,2015,0
1165607,2015,0
416142,2016,0
1001778,2015,0
2595238,2012,0
2774945,2011,0
2268505,2012,0
1316712,2014,0
749417,2015,0
2596251,2012,0
1451016,2014,0
665779,2015,0
1229292,2015,0
985656,2015,0
2326676,2012,0
1336465,2014,0
1643035,2014,0
1051176,2015,0
1888461,2013,0
195819,2016,0
1349763,2014,0
519306,2016,0
1022660,2015,0
743016,2015,0
1033505,2015,0
2363441,2012,0
2491282,2012,0
2945517,2011,0
2024187,2013,0
668304,2015,0
2141541,2013,0
587469,2016,0
2629476,2012,0
1282363,2014,0
2887549,2011,0
2429081,2012,0
422109,2016,0
717067,2015,0
2322226,2012,0
67752,2016,0
1328222,2014,0
315385,2016,0
1610944,2014,0
544598,2016,0
628051,2016,0
1793845,2013,0
2093491,2013,0
1405912,2014,0
2473829,2012,0
438263,2016,0
232470,2016,0
2469842,2012,0
1818847,2013,0
227333,2016,0
81668,2016,0
1794486,2013,0
2822831,2011,0
2531185,2012,0
2050952,2013,0
715215,2015,0
10393,2016,0
984885,2015,0
2878751,2011,0
328429,2016,0
321561,2016,0
1520435,2014,0
699405,2015,0
786397,2015,0
1002047,2015,0
1775837,2014,0
261930,2016,0
819282,2015,0
1115312,2015,0
179801,2016,0
1220023,2015,0
422973,2016,0
2563429,2012,0
2720041,2011,0
1924863,2013,0
385894,2016,0
1585106,2014,0
164364,2016,0
1151504,2015,0
2929352,2011,0
1442454,2014,0
584014,2016,0
2855628,2011,0
1409833,2014,0
84945,2016,0
1997840,2013,0
415331,2016,0
2390660,2012,0
1758044,2014,0
684442,2015,0
883729,2015,0
1318077,2014,0
232410,2016,0
502193,2016,0
1655403,2014,0
1680387,2014,0
861532,2015,0
2439567,2012,0
1515999,2014,0
1753039,2014,0
541520,2016,0
2540463,2012,0
2978852,2011,0
2362092,2012,0
2642952,2012,0
404602,2016,0
1870684,2013,0
1299477,2014,0
1955863,2013,0
349502,2016,0
1197375,2015,0
1115009,2015,0
2456924,2012,0
437292,2016,0
2015382,2013,0
322967,2016,0
1068803,2015,0
2546844,2012,0
2733068,2011,0
2843456,2011,0
2567036,2012,0
1647520,2014,0
696662,2015,0
485908,2016,0
1892986,2013,0
1422806,2014,0
2532622,2012,0
1166637,2015,0
701657,2015,0
743478,2015,0
624207,2016,0
800399,2015,0
992879,2015,0
426011,2016,0
1046556,2015,0
2415122,2012,0
1433971,2014,0
1027938,2015,0
1455037,2014,0
2449913,2012,0
1116072,2015,0
552896,2016,0
1813156,2013,0
983789,2015,0
61702,2016,0
831426,2015,0
2982168,2011,0
85152,2016,0
400903,2016,0
1912264,2013,0
2614352,2012,0
1893225,2013,0
270879,2016,0
1236958,2015,0
1976372,2013,0
1972048,2013,0
278317,2016,0
2319510,2012,0
2983733,2011,0
2648282,2011,0
1643899,2014,0
143298,2016,0
383792,2016,0
815432,2015,0
1796111,2013,0
918890,2015,0
1240130,2015,0
2610948,2012,0
1396300,2014,0
181936,2016,0
1906120,2013,0
1013412,2015,0
1092959,2015,0
1229276,2015,0
2564596,2012,0
2839405,2011,0
1621983,2014,0
1644906,2014,0
790157,2015,0
891023,2015,0
1740994,2014,0
2340764,2012,0
1837055,2013,0
2140786,2013,0
2827426,2011,0
1262040,2015,0
2575705,2012,0
129330,2016,0
619497,2016,0
1419227,2014,0
1609889,2014,0
839580,2015,0
2549947,2012,0
1579219,2014,0
1435092,2014,0
2772729,2011,0
291008,2016,0
672603,2015,0
761631,2015,0
215973,2016,0
1351891,2014,0
763070,2015,0
183591,2016,0
339524,2016,0
2053797,2013,0
2152714,2013,0
1594894,2014,0
2078523,2013,0
883194,2015,0
920244,2015,0
1482305,2014,0
266033,2016,0
911272,2015,0
2346949,2012,0
2148289,2013,0
1169264,2015,0
1689418,2014,0
987743,2015,0
1447381,2014,0
2150415,2013,0
2531991,2012,0
61887,2016,0
1035039,2015,0
2106828,2013,0
2305431,2012,0
2316841,2012,0
2377729,2012,0
1001713,2015,0
2098192,2013,0
454896,2016,0
1902848,2013,0
1116069,2015,0
161645,2016,0
2383328,2012,0
1537124,2014,0
2655520,2011,0
579392,2016,0
1527471,2014,0
1945056,2013,0
2440701,2012,0
352289,2016,0
54068,2016,0
2235406,2012,0
802641,2015,0
901431,2015,0
2465174,2012,0
1337498,2014,0
959748,2015,0
1184865,2015,0
2805421,2011,0
2225902,2013,0
605241,2016,0
70353,2016,0
87507,2016,0
443214,2016,0
2702415,2011,0
561605,2016,0
2035111,2013,0
2101782,2013,0
2869454,2011,0
778147,2015,0
1521361,2014,0
1520560,2014,0
850724,2015,0
1433915,2014,0
787649,2015,0
1123035,2015,0
2594185,2012,0
2747969,2011,0
19740,2016,0
27610,2016,0
2167141,2013,0
1229369,2015,0
1063699,2015,0
1832417,2013,0
981802,2015,0
556100,2016,0
1526902,2014,0
1422741,2014,0
375367,2016,0
2687553,2011,0
1622880,2014,0
2470034,2012,0
2386265,2012,0
201480,2016,0
949785,2015,0
1648695,2014,0
271981,2016,0
986120,2015,0
2217971,2013,0
1986646,2013,0
472456,2016,0
2561967,2012,0
2487143,2012,0
1876411,2013,0
62763,2016,0
2978246,2011,0
869326,2015,0
333644,2016,0
1461335,2014,0
2696416,2011,0
1845094,2013,0
2059995,2013,0
1406621,2014,0
2065157,2013,0
1585477,2014,0
107750,2016,0
2815180,2011,0
449879,2016,0
1080684,2015,0
2653688,2011,0
779430,2015,0
245054,2016,0
2631873,2012,0
2514541,2012,0
1667214,2014,0
2461835,2012,0
1792995,2013,0
2571001,2012,0
498874,2016,0
2676157,2011,0
2532279,2012,0
755957,2015,0
1728734,2014,0
1619274,2014,0
2945669,2011,0
228634,2016,0
507307,2016,0
1771372,2014,0
1006157,2015,0
248817,2016,0
1384964,2014,0
2702159,2011,0
564762,2016,0
696342,2015,0
263545,2016,0
2266238,2012,0
948655,2015,0
1768023,2014,0
1465635,2014,0
2315086,2012,0
1361495,2014,0
2544622,2012,0
1956954,2013,0
1012252,2015,0
236369,2016,0
743483,2015,0
1991062,2013,0
1623315,2014,0
2978624,2011,0
1475506,2014,0
195281,2016,0
941187,2015,0
940622,2015,0
777983,2015,0
1659810,2014,0
2018312,2013,0
1229405,2015,0
260895,2016,0
921035,2015,0
2088765,2013,0
517471,2016,0
53184,2016,0
195455,2016,0
2911293,2011,0
121175,2016,0
2143565,2013,0
1079569,2015,0
2888741,2011,0
2430282,2012,0
531059,2016,0
532462,2016,0
603975,2016,0
1076192,2015,0
1951563,2013,0
2169501,2013,0
1665688,2014,0
1921161,2013,0
1272144,2014,0
224348,2016,0
1247974,2015,0
2630397,2012,0
236655,2016,0
2983329,2011,0
2421691,2012,0
2533162,2012,0
2819064,2011,0
306651,2016,0
463485,2016,0
1829179,2013,0
1462162,2014,0
2991144,2011,0
1964397,2013,0
2256220,2012,0
246751,2016,0
787784,2015,0
309490,2016,0
2057448,2013,0
2251426,2012,0
1878576,2013,0
1601124,2014,0
557222,2016,0
1201217,2015,0
1105062,2015,0
2770332,2011,0
502241,2016,0
859743,2015,0
1204831,2015,0
2929541,2011,0
2097025,2013,0
121999,2016,0
1911463,2013,0
1043131,2015,0
528188,2016,0
1089217,2015,0
1873340,2013,0
1446388,2014,0
162003,2016,0
1229146,2015,0
469824,2016,0
1546751,2014,0
2876719,2011,0
2693829,2011,0
2622611,2012,0
1589344,2014,0
1377083,2014,0
165006,2016,0
2237245,2012,0
776213,2015,0
351891,2016,0
2291344,2012,0
180761,2016,0
2716548,2011,0
2584363,2012,0
1562197,2014,0
343257,2016,0
209432,2016,0
2007461,2013,0
1937880,2013,0
1488974,2014,0
336451,2016,0
1439176,2014,0
662856,2015,0
536119,2016,0
862392,2015,0
2609050,2012,0
1126091,2015,0
1809617,2013,0
463670,2016,0
688127,2015,0
582448,2016,0
1313492,2014,0
755899,2015,0
2924443,2011,0
1323777,2014,0
2820047,2011,0
2280423,2012,0
137142,2016,0
870850,2015,0
66204,2016,0
503108,2016,0
186170,2016,0
2238954,2012,0
2592188,2012,0
2474453,2012,0
1589930,2014,0
2994198,2011,0
2201125,2013,0
2613380,2012,0
335742,2016,0
2808760,2011,0
1341596,2014,0
2697341,2011,0
1665992,2014,0
2149761,2013,0
1877485,2013,0
301841,2016,0
309554,2016,0
1308035,2014,0
207989,2016,0
1582078,2014,0
2089999,2013,0
2014676,2013,0
1575967,2014,0
2404217,2012,0
2484986,2012,0
2150505,2013,0
444625,2016,0
2043805,2013,0
1170045,2015,0
482848,2016,0
2836552,2011,0
2742479,2011,0
1101459,2015,0
675568,2015,0
1885690,2013,0
536283,2016,0
1057249,2015,0
1947980,2013,0
335818,2016,0
1360355,2014,0
189238,2016,0
1139761,2015,0
1738692,2014,0
2234479,2012,0
1936986,2013,0
2122589,2013,0
2094394,2013,0
2233418,2012,0
429166,2016,0
1115277,2015,0
1608684,2014,0
1456704,2014,0
2774462,2011,0
1801425,2013,0
1394537,2014,0
802400,2015,0
1835296,2013,0
33122,2016,0
2356909,2012,0
88139,2016,0
770842,2015,0
2961293,2011,0
1742049,2014,0
2175054,2013,0
818543,2015,0
832252,2015,0
1871516,2013,0
1446974,2014,0
191171,2016,0
673025,2015,0
1246495,2015,0
695047,2015,0
1263826,2015,0
2598615,2012,0
2890311,2011,0
61921,2016,0
2114981,2013,0
2317311,2012,0
2421098,2012,0
639398,2016,0
